group_code,group_name,contract_count,total_contract_sum,average_contract_sum
108912,"Яйца без скорлупы и желтки яичные, свежие или консервированные; яйца в скорлупе, консервированные или варенные; белок яичный",4,587503174.00,146875793.50000000
201453,"Эфиры сложные фосфорсодержащих кислот и кислот неорганических прочих (кроме эфиров сложных кислоты галоидоводородной) и их соли; их производные галогенированные, сульфированные, нитрированные, нитрозированные",1,7071780.16,7071780.160000000000
201463,"Эфиры простые, пероксиды органические, эпоксиды, ацетали и полуацетали и их производные",11,35184003.45,3198545.768181818182
172911,Этикетки и ярлыки  бумажные или картонные,15,106880263.22,7125350.881333333333
205953,"Элементы химические  легированные, используемые в электронике",1,597550.00,597550.000000000000
272011,Элементы первичные и батареи элементов первичных,50,5801890645.50,116037812.91000000
236112,"Элементы конструкций сборные для строительства, в том числе гражданского, из цемента, бетона или камня искусственного",34,24810837111.47,729730503.27852941
351110,Электроэнергия,16,10749961464.29,671872591.51812500
264031,"Электрофоны, проигрыватели, плееры для воспроизведения звукозаписи, плееры кассетные и аппаратура звуковоспроизводящая прочая",72,14345568282.36,199244003.92166667
264043,Электроусилители звуковых частот; устройства электрические для усиления звука,21,4241495609.25,201975981.39285714
279070,"Электросигнализация, оборудованное для обеспечения безопасности или управления транспортными потоками для железных дорог, трамвайных путей, дорог, внутренних водных путей, стоянок для автомобилей, портовых сооружений или летных полей",8,746775378.00,93346922.250000000000
279040,"Электрооборудование прочее, не включенное в другие группировки (включая электромагниты; муфты, сцепления и тормоза электромагнитные; приспособления электромагнитные подъемные; ускорители частиц электрические; генераторы сигналов электрические)",3,1712213560.00,570737853.33333333
293123,"Электрооборудование для транспортных средств прочее: осветительное, сигнализационное, стеклоочистители, стеклообогреватели, антиобледенители и противозапотеватели",37,7361909738.18,198970533.46432432
275126,Электрообогреватели помещений или почвы,5,244283160.00,48856632.000000000000
279013,Электроды угольные и прочие изделия из графита или прочих видов углерода,13,1379485639.00,106114279.923076923077
271121,"Электродвигатели универсальные переменного и постоянного тока мощностью более 37,5 Вт",2,3873150.00,1936575.000000000000
271122,Электродвигатели переменного тока однофазные,1,1240000.00,1240000.000000000000
271125,Электродвигатели переменного тока многофазные мощностью свыше 75 кВт,15,4659900662.00,310660044.13333333
271123,Электродвигатели переменного тока многофазные мощностью не более 750 Вт,2,9016000.00,4508000.000000000000
271124,"Электродвигатели переменного тока многофазные мощностью более 0,75 кВт, но не более 75 кВт",9,408023240.00,45335915.555555555556
271110,"Электродвигатели мощностью не более 37,5 Вт; электродвигатели постоянного тока прочие; генераторы постоянного тока",8,2408528454.00,301066056.75000000
108314,"Экстракты, эссенции, концентраты и продукты на основе чая (или мате)",5,352615253.58,70523050.716000000000
289226,Экскаваторы одноковшовые механические самоходные и погрузчики ковшовые с поворотом кабины на 360 градусов (машины полноповоротные)  (кроме погрузчиков одноковшовых фронтальных),64,59585904986.82,931029765.41906250
289227,Экскаваторы одноковшовые механические самоходные и погрузчики ковшовые неполноворотные; машины самоходные для горнодобывающей промышленности прочие,85,74615105948.08,877824775.85976471
271231,"Щиты распределительные и панели прочие, оборудованные аппаратурой для отключения, переключения или защиты электрических цепей на напряжение не более 1000 В",51,16375772570.54,321093579.81450980
271232,"Щиты распределительные и панели прочие, оборудованные аппаратурой для отключения, переключения или защиты электрических цепей на напряжение более 1000 В",5,247777200.00,49555440.000000000000
329112,"Щетки туалетные для ухода за внешностью; кисти художественные, кисточки для письма и для косметики; щетки зубные",2,45404630.00,22702315.000000000000
329119,"Щетки прочие, не включенные в другие группировки",29,3335015050.03,115000518.96655172
161023,Щепа или стружка древесные,1,60493986.00,60493986.000000000000
325013,"Шприцы, иглы, катетеры, канюли и инструменты аналогичные; приборы и приспособления офтальмологические и прочие, не включенные в другие группировки",819,193455720517.98,236209670.96212454
257213,"Шпингалеты и рамы со шпингалетами, снабженные замками; части замков",5,112137974.42,22427594.884000000000
108222,"Шоколад и пищевые продукты, содержащие какао (кроме подслащенного какао-порошка), в небольших упаковках",99,6605208911.61,66719281.935454545455
141942,"Шляпы и уборы головные прочие фетровые, плетеные или изготовленные путем соединения полосок из материалов различных, трикотажные, ручного или машинного вязания,  изготовленные из кружева или материалов текстильных прочих из одного  куска; сетки для волос",14,128763018.06,9197358.432857142857
259922,"Шкафы картотечные, ящики для бумаг деловых, картотек, для хранения печатей, лотки и подставки для бумаг и оборудование аналогичное конторское из металлов недрагоценных, кроме мебели офисной",4,56684000.00,14171000.000000000000
221112,Шины резиновые пневматические новые для мотоциклов или велосипедов,1,21250.00,21250.000000000000
221113,"Шины резиновые пневматические новые для автобусов или автомобилей грузовых, для авиации",153,85626027217.32,559647236.71450980
221111,Шины резиновые пневматические новые,317,88760392280.02,280001237.47640379
221114,"Шины для сельскохозяйственных машин, прочие новые пневматические резиновые шины",43,6967212979.60,162028208.82790698
291044,Шасси с двигателями для автотранспортных средств,14,117910864742.59,8422204624.47071429
281531,"Шарики, иглы и ролики; части подшипников шариковых или роликовых",4,15809500.00,3952375.000000000000
204216,"Шампуни, лаки для волос, препараты для завивки или укладки",3,34773971.04,11591323.680000000000
108422,"Чили и перцы, сушеные, (рода capsicum), обработанные",12,2791417674.12,232618139.51000000
205930,Чернила для письма или рисования и чернила прочие,12,288852270.20,24071022.516666666667
151212,"Чемоданы, саквояжи, сумки, портфели, изделия кожгалантерейные мелкие и аналогичные из кожи натуральной или композиционной, пластмассы, текстильных материалов,  волокна вулканизированного или  картона;  наборы дорожные для личной гигиены, шитья или чистки одежды или обуви",83,14612795302.30,176057774.72650602
265212,"Часы наручные, карманные и прочие, предназначенные для ношения на себе или с собой, с корпусом из металла недрагоценного или плакированные металлом недрагоценным",5,131930490.00,26386098.000000000000
265211,"Часы наручные, карманные и прочие, предназначенные для ношения на себе или с собой, с корпусом из металла драгоценного или плакированные металлом драгоценным",11,4234569577.66,384960870.69636364
279033,"Части электрооборудования прочего; электродетали машин или оборудования, не включенные в другие группировки",6,103104600.00,17184100.000000000000
293130,Части электрооборудования прочего для автомобилей и мотоциклов,36,1676110914.50,46558636.513888888889
271161,Части электродвигателей и генераторов,70,52092237335.68,744174819.08114286
263030,Части электроаппаратуры телефонной и телеграфной связи,148,71530485083.20,483314088.40000000
279082,"Части электрических резисторов, реостатов и потенциометров",2,114221840.00,57110920.000000000000
282982,Части центрифуг; части машин и аппаратов для фильтрования или очистки жидкостей или газов,35,36544831494.90,1044138042.71142857
281131,"Части турбин, работающих на водяном паре, и турбин паровых прочих",20,53661512955.89,2683075647.79450000
281133,"Части турбин газовых, кроме частей для двигателей турбореактивных и турбовинтовых",6,576737020.00,96122836.666666666667
271162,"Части трансформаторов электрических, катушек индуктивности и преобразователей статических",3,875517608.00,291839202.66666667
282114,Части топок печных и печей,14,2180734326.80,155766737.62857143
231924,"Части стеклянные ламп и арматуры осветительной, иллюминированных знаков и  изделий аналогичных",1,163571400.00,163571400.000000000000
257340,"Части сменные для ручных инструментов, оснащенных или не оснащенных приводом механическим, или для станков",30,13690076734.00,456335891.13333333
263060,Части сигнализации тревожной и противопожарной и оборудования аналогичного,44,16220746499.54,368653329.53500000
274042,Части светильников и устройств осветительных,6,96024424.16,16004070.693333333333
281142,"Части прочих двигателей, не включенные в другие группировки",57,2232220986.13,39161771.686491228070
292030,"Части прицепов, полуприцепов и средств транспортных прочих, не оснащенных двигателями",1,1131355.00,1131355.000000000000
275130,Части приборов электрических бытовых,6,70356736.80,11726122.800000000000
283092,Части почвообрабатывающих машин,4,26326992.00,6581748.000000000000
281141,Части поршневых двигателей внутреннего сгорания с искровым зажиганием (кроме частей для авиационных двигателей),73,44604763720.66,611024160.55698630
253013,Части парогенераторов,22,32881003499.42,1494591068.15545455
254014,Части оружия боевого и прочего,10,12682279660.00,1268227966.00000000
279032,Части оборудования электрического для пайки и сварки; машин и аппаратов электрических для нанесения металлов или спеченных карбидов металлов в горячем состоянии,24,2122923954.22,88455164.759166666667
282530,Части оборудования холодильного и морозильного и насосов тепловых,13,1362973574.99,104844121.153076923077
282219,Части оборудования подъемно-транспортного и погрузочно-разгрузочного,23,12480404007.31,542626261.18739130
282986,"Части оборудования неэлектрического для пайки и сварки; машин и аппаратов для поверхностного отпуска, работающих на газе",2,63212034.00,31606017.000000000000
281220,Части оборудования гидравлического силового,10,4182615426.50,418261542.65000000
281331,Части насосов для жидкостей и подъемников жидкостей,39,3010131526.56,77182859.655384615385
281332,"Части насосов воздушных или вакуумных, компрессоров воздушных или газовых, вентиляторов, шкафов вытяжных",66,10603641156.93,160661229.65045455
310014,Части мебели для сидения,1,1071416.00,1071416.000000000000
282984,"Части машин, не содержащие электрических соединителей, не включенные в другие группировки",1,12631524.10,12631524.100000000000
289952,"Части машин специального назначения, не включенных в другие группировки",10,2314910404.05,231491040.40500000
283093,Части машин сельскохозяйственных прочих,96,37782783333.95,393570659.72864583
282985,"Части машин посудомоечных и машин для чистки, наполнения емкостей, упаковывания или укупоривания",1,3095400.00,3095400.000000000000
289940,Части машин печатных и переплетных,2,88087820.67,44043910.335000000000
289262,"Части машин для сортировки, дробления или прочей обработки грунта, камня и материалов аналогичных",15,11733162852.00,782210856.80000000
289452,Части машин для производства изделий текстильных и швейных прочих и для обработки кожи,1,29999200.00,29999200.000000000000
289261,Части машин буровых или проходческих или машин для выемки грунта; части кранов,118,18665618458.29,158183207.27364407
302040,"Части локомотивов железнодорожных, трамвайных моторных вагонов и подвижного состава, включая  крепежные изделия и арматуру; оборудования механическое для управления движением",111,43700008034.41,393693766.07576577
281420,Части кранов и клапанов и арматуры аналогичной,10,599464222.50,59946422.250000000000
252113,Части котлов центрального отопления,3,2563800.00,854600.000000000000
282983,"Части каландров или машин валковых (роликовых) прочих; части оборудования распылительного, разновесы оборудования для взвешивания",3,37745178.00,12581726.000000000000
282421,Части инструментов электромеханических ручных со встроенным электродвигателем,1,715588.00,715588.000000000000
282422,Части инструментов ручных электромеханических и пневматических прочие,11,383257166.00,34841560.545454545455
289451,Части и приспособления станков ткацких и машин прядильных,1,65800000.00,65800000.000000000000
284140,Части и приспособления к станкам металлообрабатывающим,3,401330983.00,133776994.33333333
284924,"Части и приспособления к станкам для обработки дерева, пробки, камня, эбонита и материалов твердых аналогичных",7,719545200.30,102792171.471428571429
267019,Части и принадлежности фотооборудования,20,2316198459.68,115809922.98400000
267025,"Части и принадлежности устройств на кристаллах жидких; лазеров (кроме диодов лазерных); приборов и аппаратов оптических прочих, не включенных в другие группировки",2,1325400.00,662700.000000000000
325023,Части и принадлежности протезов и приспособлений ортопедических,48,10707851754.50,223080244.88541667
265185,"Части и принадлежности приборов и аппаратуры, относящихся к группировкам 26.51.65, 26.51.66 и 26.51.70",15,2016635160.00,134442344.00000000
265182,"Части и принадлежности приборов и аппаратуры, относящихся к группировкам 26.51.12, 26.51.32, 26.51.33, 26.51.4 и 26.51.5; микрометры; части, не включенные в другие группировки",269,15722443487.57,58447745.306951672862
282325,Части и принадлежности оборудования офисного прочего,11,340256850.00,30932440.909090909091
309120,Части и принадлежности мотоциклов и колясок мотоциклетных,3,22115363.00,7371787.666666666667
265183,Части и принадлежности микроскопов (кроме оптических) и части и принадлежности аппаратуры дифракционной,6,205502628.00,34250438.000000000000
282326,"Части и принадлежности машин фотокопировальных с системой оптической или контактного типа, машины термокопировальные",75,3255116954.04,43401559.387200000000
282324,Части и принадлежности машин пишущих и вычислительных,1,104679336.96,104679336.960000000000
262040,Части и принадлежности компьютеров и машин прочих для обработки информации,1446,338019748363.13,233761928.32858230
293220,Части и принадлежности к кузовам автомобилей,21,3516251046.69,167440526.03285714
322020,Части и принадлежности инструментов музыкальных,1,59040.00,59040.000000000000
265184,"Части и принадлежности изделий, относящихся к группировкам 26.51.63 и 26.51.64",3,850500405.00,283500135.00000000
264051,Части и принадлежности для аппаратуры звукозаписывающей и звуковоспроизводящей и видеоаппаратуры,31,14534481048.00,468854227.35483871
309230,Части и принадлежности велосипедов без двигателей и кресло-колясок для лиц с инвалидностью,2,634684000.00,317342000.00000000
267024,"Части и принадлежности биноклей, моноклей и телескопов оптических прочих; приборов астрономических прочих; микроскопов оптических",1,610851.00,610851.000000000000
293230,Части и принадлежности автомобильные,488,65038330004.66,133275266.40299180
271240,Части для электрораспределительной и регулирующей аппаратуры,37,4870803088.22,131643326.70864865
303016,Части двигателей турбореактивных и турбовинтовых,1,209674000.00,209674000.00000000
282981,Части газогенераторов или генераторов газа водяного,3,30617380.00,10205793.333333333333
303050,Части аппаратов летательных и космических,14,16299595206.29,1164256800.44928571
108313,"Чай зеленый (неферментированный), чай черный (ферментированный) и чай частично ферментированный",142,8747825153.71,61604402.490915492958
259111,"Цистерны, бочки, барабаны, канистры, ящики и емкости аналогичные для веществ любых (кроме газов) из металлов черных вместимостью 50-300 л, не снабженные оборудованием механическим или тепловым",33,9122475805.00,276438660.75757576
259112,"Цистерны, бочки, барабаны, канистры, ящики (кроме заваренных и запаянных) и емкости аналогичные для веществ любых (кроме газов) из металлов черных вместимостью менее 50 л, не снабженные оборудованием механическим или тепловым",3,1125610360.00,375203453.33333333
201362,"Цианиды, оксиды цианидов и цианиды комплексные; фульминаты, цианаты и тиоцианаты; силикаты; бораты; пербораты; соли кислот неорганических или пероксикислот прочие",7,13021425.76,1860203.680000000000
259317,"Цепи, кроме цепей шарнирных, и их части",2,7525282.00,3762641.000000000000
281521,Цепи роликовые и шарнирные из металлов черных,9,912361012.00,101373445.777777777778
284112,Центры обрабатывающие; станки агрегатные однопозиционные и многопозиционные для обработки металлов,1,4479497750.00,4479497750.00000000
282941,"Центрифуги, не включенные в другие группировки",47,4603534818.89,97947549.338085106383
232013,"Цементы огнеупорные, растворы строительные, бетоны и составы аналогичные, не включенные в другие группировки",5,177021913.00,35404382.600000000000
275111,Холодильники и морозильники бытовые,50,2006572460.94,40131449.218800000000
201551,Хлорид калия,2,6069000.00,3034500.000000000000
201520,Хлорид аммония; нитриты,2,1001362.52,500681.260000000000
107211,"Хлебцы хрустящие, сухари, хлеб для тостов и изделия хрустящие аналогичного типа",14,2997242694.78,214088763.91285714
107111,Хлеб свежий,288,40135580003.09,139359652.78850694
222926,"Фурнитура для мебели, транспортных средств, статуэтки и украшения прочие из пластмасс",2,482360000.00,241180000.00000000
202015,"Фунгициды, расфасованные в формы или упаковки для торговли розничной или представленные в виде готовых препаратов или изделий",6,3624143223.92,604023870.65333333
103925,Фрукты готовые или консервированные прочие,102,3995615459.21,39172700.580490196078
205912,"Фотохимикаты, кроме лаков, клеев и адгезивов; продукты несмешанные, используемые для фотографических целей, представленные в отмеренных долях или упакованные для торговли розничной в готовом к использованию виде",79,5267397407.93,66675916.556075949367
205911,"Фотопластинки и фотопленки; пленки для фотографии моментальной светочувствительные, неэкспонированные; фотобумага",74,3054550326.30,41277707.112162162162
267014,Фотокамеры с моментальным получением готового снимка и фотокамеры прочие,1,9989800.00,9989800.000000000000
267012,"Фотокамеры для подготовки пластин или цилиндров печатных; фотокамеры для съемки документов на микропленку, микрофиши и изделия аналогичные",8,693429284.57,86678660.571250000000
267017,"Фотовспышки; фотоувеличители; аппаратура для фотолабораторий; негатоскопы, экраны проекционные",16,855008662.50,53438041.406250000000
201342,"Фосфинаты, фосфонаты, фосфаты,  полифосфаты и нитраты (кроме нитрата калия)",4,167874914.57,41968728.642500000000
201364,Фосфиды; карбиды; гидриды; нитриды; азиды; силициды и бориды,1,123475.00,123475.000000000000
089111,Фосфаты кальция или алюминия природные,5,262215502.00,52443100.400000000000
322011,Фортепиано и инструменты музыкальные струнные клавишные прочие,14,3744320432.95,267451459.49642857
274021,"Фонари портативные электрические, работающие от собственного источника энергии (например, батарей сухих элементов, аккумуляторов, магнето)",12,2895712261.00,241309355.08333333
244225,"Фольга алюминиевая толщиной не более 0,2 мм (не считая основы)",1,148400.00,148400.000000000000
242040,"Фитинги для труб стальные, не литые",102,16056983411.28,157421405.99294118
282913,"Фильтры масляные, бензиновые и всасывающие воздушные для двигателей внутреннего сгорания",81,3949770063.82,48762593.380493827160
102014,"Филе рыбы, мороженое",19,826100584.90,43478978.152631578947
102011,"Филе рыбное, мясо рыбы прочее (разделанное или нет), свежее или охлажденное",29,3027326533.11,104390570.10724138
139913,"Фетр и войлок, в том числе с покрытием, пропитанные или ламинированные",2,31608278.16,15804139.080000000000
241012,Ферросплавы,4,63147000.00,15786750.000000000000
201464,Ферменты и соединения органические прочие,15,2053670100.00,136911340.00000000
201424,"Фенолы, фенолоспирты и производные фенолов",2,1500675.00,750337.500000000000
162112,"Фанера клееная, фанерованные панели и аналогичные слоистые материалы из древесины прочей",10,2136546503.84,213654650.38400000
262018,"Устройства, выполняющие две или более функций: печать, просмотр, копирование, отправление факсом",402,87755979094.38,218298455.45865672
282511,Устройства теплообменные и машины для сжижения воздуха или газов прочих,18,6526881451.00,362604525.05555556
262022,Устройства сохраняющие/записывающие,14,3797199029.00,271228502.07142857
267023,"Устройства на кристаллах жидких; лазеры (кроме диодов лазерных); приборы и аппараты оптические прочие, не включенные в другие группировки",5,3718043002.00,743608600.40000000
283060,"Устройства механические для разбрасывания или распыления жидкостей или порошков, используемые в сельском хозяйстве или садоводстве",23,3014048241.00,131045575.69565217
262030,"Устройства машин для автоматизированной обработки данных, прочие",745,185980036675.97,249637633.12210738
262021,Устройства запоминающие (накопители),126,109256845730.37,867117823.25690476
267018,"Устройства для считывания микрофильмов, микрофиш и прочих микроносителей",2,286600000.00,143300000.000000000000
262016,"Устройства ввода-вывода, не включенные в другие группировки",698,111237942277.75,159366679.48101719
271132,"Установки электрогенераторные с двигателем поршневым с искровым зажиганием, установки электрогенераторные прочие; преобразователи электрические вращающиеся",82,34873247192.00,425283502.34146341
271131,Установки электрогенераторные с двигателем внутреннего сгорания поршневым с воспламенением от сжатия,35,7984141768.00,228118336.22857143
253012,Установки вспомогательные для использования вместе с котлами; конденсаторы для установок пароводяных или паросиловых  прочих,28,13352191342.54,476863976.51928571
255012,Услуги по листовой штамповке металлов,11,799791959.00,72708359.909090909091
201443,"Уреины: соединения, содержащие функциональные карбоксимидные группы; соединения, содержащие функциональные нитрильные группы; их производные",8,6407307.50,800913.437500000000
108411,"Уксус и его заменители, получаемые из кислоты уксусной",8,120508055.70,15063506.962500000000
274024,"Указатели, табло световые и аналогичные вывески, включая дорожные знаки",11,609110367.00,55373669.727272727273
201574,"Удобрения, содержащие два питательных элемента: азот и фосфор",1,88984500.00,88984500.000000000000
201579,"Удобрения минеральные или химические содержащие не менее двух элементов (нитраты, фосфаты), не включенные в другие группировки",4,44198763.13,11049690.782500000000
201559,Удобрения калийные прочие,1,1635052.80,1635052.800000000000
201580,Удобрения животного и растительного происхождения,1,1092030000.00,1092030000.00000000
201539,Удобрения азотные и их смеси прочие,4,2894773052.80,723693263.20000000
051010,Уголь каменный,98,57004828383.62,581681922.28183673
201472,"Уголь древесный, включая агломерированный",1,3507400.00,3507400.000000000000
205954,Уголь активированный,11,10045788573.40,913253506.67272727
201412,Углеводороды циклические,12,29563733.68,2463644.473333333333
201411,Углеводороды ациклические,12,27280517.76,2273376.480000000000
141943,"Уборы головные прочие, кроме уборов головных из резины или пластика, уборов головных защитных и уборов головных из асбеста;  ленты, подкладки, чехлы головные, каркасы и основы шляпные, козырьки и ремешки для уборов головных",103,40255396632.68,390829093.52116505
329911,Уборы головные защитные и предметы защитные прочие,87,13606674993.04,156398563.13839080
291043,Тягачи дорожные,15,10666939003.95,711129266.93000000
139911,"Тюль и ткани сетчатые прочие, кроме тканей, полотна трикотажного  машинного или ручного вязания; кружева в кусках, в форме полос или украшений кружевных",4,21646350.00,5411587.500000000000
281325,Турбокомпрессоры,1,2374700.00,2374700.000000000000
