ktru_code,ktru_name,contract_count,ktru_description,total_contract_sum,average_contract_sum,ktru_subgroup
329953.000.000000,Кабинет учебный,87031,с материально-техническим оснащением,1354958931459.82,15568693.126125403592,27af55b7-cfd3-4907-bc73-6e4772df214c
192028.900.000003,Топливо,1466,"нефтяное, марки Б",840371806085.33,573241341.12232606,90a0fd9d-37a3-4fb7-9a7d-592bf7a2cf1c
291022.300.000018,Автомобиль,1539,"легковой, класс С, механическая трансмиссия, объем до 2000 куб.см",244803947428.76,159066892.41634828,93bdeaa4-7c0d-402d-9483-a41b8644f956
262013.000.000020,Сервер,540,"специального назначения, аппаратный",176344956615.76,326564734.47362963,ee285385-4010-4f41-bde2-d3d3ba5daae6
192021.530.000001,Бензин для двигателей с искровым зажиганием,13641,марка АИ-92,155741367723.76,11417151.801463235833,13665d16-5940-4d44-9740-baccfdc87c26
291059.300.000007,Автомобиль,1200,"специальный, пожарный, автоцистерна",152431206462.26,127026005.38521667,6e78da7a-bbb7-41e8-bd3a-e678bc7dd10f
410010.100.000026,Здание,634,жилое,150267503000.00,237014988.95899054,
192025.900.000000,Топливо реактивное,700,"плотность при 20 °С более 775 кг/м3, но не более 800 кг/м3",123322258430.88,176174654.90125714,336fa86d-78c8-4918-b7bc-5688720cd83c
262013.000.000011,Компьютер,6515,офисный (универсальный),121126551963.97,18591949.649112816577,ee285385-4010-4f41-bde2-d3d3ba5daae6
291044.000.000000,Шасси,404,"самоходный, грузоподъемность не более 10 т",114409711814.22,283192355.97579208,564d2446-f368-420f-8684-975607a4aa0c
205959.630.000045,Реагент,2463,на подложке или в виде препаратов включающие более одного компонента,113653077603.00,46144164.678440925700,59d4fc5c-0987-4cda-88c4-ad2a3fca100c
264033.900.000013,Система специализированная,1376,видеонаблюдения,105287199813.56,76516860.329622093023,a9d352b2-3702-455a-845f-d527bb0422a4
192026.510.000000,Топливо дизельное,6222,летнее,104642687725.16,16818175.462095789135,dc62a028-aa16-4930-8037-c1ba283d42a4
212021.600.000039,Тест-система,412,для выявления антител к вирусу ящура животного,104565080988.20,253798740.26262136,c4e887d1-908a-45a7-906d-95386258fec0
410010.100.000009,Квартира,1594,3-комнатная,104116083196.00,65317492.594730238394,
252112.900.000005,Котельная блок-модульная,2588,на твердом топливе,104016443193.31,40191825.036054868624,31497e88-ac6e-41ff-afd2-88dc8ad3c1c9
291059.900.000008,Автомобиль,162,"специализированный, коммунально-уборочный",99851104709.08,616364843.88320988,d4481b0e-2573-4bba-91d3-f6c71f58c776
172312.700.000031,Книга,16092,печатная продукция,97647519136.20,6068078.494668158091,c6fa169e-1ee8-4777-81df-1925ee67a8ff
291059.999.000089,Автомобиль,969,"специальный, санитарный",97587850350.22,100709855.88257998,9dfbb862-537a-43e3-9503-c8e156fcf29a
322013.700.000000,Инструмент музыкальный,1083,духовой,96660376100.00,89252424.838411819021,6c4e4636-0e25-41fd-856a-498ebe1aa143
291022.300.000021,Автомобиль,767,"легковой, класс D, механическая трансмиссия, объем до 2500 куб.см",96547287000.00,125876514.99348110,93bdeaa4-7c0d-402d-9483-a41b8644f956
109210.330.000000,Корм,1243,"для собак, готовый",94977881885.86,76410202.643491552695,0f6b9d17-55c2-43e9-a304-98d703fcaf92
620129.000.000000,Программное обеспечение,4228,оригинал программного обеспечения (кроме услуг по разработке программных обеспечении по заказу),88639037374.18,20964767.590865657521,
108610.731.000000,Смесь,8669,"для детей, молочная, сухая",88153852665.89,10168860.614360364517,aaccc4bc-6ebb-4aba-98c5-55dd1481b0c8
281314.900.000076,Насос,1557,"для химически активных и агрессивных жидкостей, погружной вертикальный, подача до 500 м3/ч",87223260648.32,56020077.487681438664,01f23b77-c6f6-4cf7-8ff2-dc79389a12d9
265153.900.000072,Оборудование учебно-лабораторное,2576,стендовое исполнение,81550925147.74,31657967.836855590062,3cf74de0-42df-4c76-830d-410eb3dc85b3
108919.490.000000,Добавка биологически активная,1773,к пище,78315976222.29,44171447.389898477157,1ac185f8-0f28-4bb4-9136-4191bfca3fc7
192026.510.000001,Топливо дизельное,3678,зимнее,77696603518.65,21124688.286745513866,dc62a028-aa16-4930-8037-c1ba283d42a4
262040.000.000282,Картридж,5697,"тонерный, цветной",74979323738.61,13161194.266914165350,1e2fdb31-354a-434c-bcb8-a2510675d5f4
289227.300.000000,Погрузчик-экскаватор,2129,для земляных работ,74615105948.08,35047020.172888680132,b205ac68-acbe-458f-8065-d18d99e0f244
192026.520.000000,Топливо дизельное,1916,межсезонное,74396495140.01,38829068.444681628392,92de203d-7b7d-44d8-8c08-1d9cbbd4af16
291059.300.000002,Автомобиль,136,"специальный, автолестница пожарная, высота подъема летницы более 30 м",71934814000.00,528932455.88235294,6e78da7a-bbb7-41e8-bd3a-e678bc7dd10f
251110.300.000003,Здание мобильное,1344,"административное, для медпункта",71605224948.02,53277697.133943452381,4b53df8c-ad36-42cc-bb55-28e4fd0cc0f1
262040.000.000118,Модуль бесперебойного питания,287,для обеспечения работы электрооборудования,70925542173.00,247127324.64459930,1e2fdb31-354a-434c-bcb8-a2510675d5f4
265112.350.000003,Прибор метеорологический,883,для измерения и регистрации физических параметров атмосферы,69877700284.64,79136693.414088335221,8276ff2b-b90c-4eb5-a604-19dd54d85519
262018.900.000006,Устройство многофункциональное,5880,печать лазерная,68337727720.13,11622062.537437074830,f435e758-d6a6-4ef8-96bc-3d5d9ada1ae7
323014.000.000015,Гимнастический снаряд,658,спортивный,68090133561.02,103480446.14136778,f5266ddc-f758-4a00-a3ef-09738e011321
262013.000.000021,Сервер,588,"специального назначения, для работы совместно с телекоммуникационным оборудованием",67300433443.42,114456519.46159864,ee285385-4010-4f41-bde2-d3d3ba5daae6
291022.300.000016,Автомобиль,1018,"легковой, класс В, механическая трансмиссия, объем до 2000 куб.см",66236805764.01,65065624.522603143418,93bdeaa4-7c0d-402d-9483-a41b8644f956
262021.300.000002,Массив дисковый,327,RAID,66083925388.00,202091514.94801223,8f567262-1255-49e2-9d11-d3b86e5aaffc
203011.900.000000,Краска,400,акриловая,65719992803.08,164299982.00770000,5d85288b-cde6-4a8d-a0ea-c4df4351a914
263023.900.000010,Система специализированная,1184,для проведения видеоконференций,63739902842.16,53834377.400472972973,4123b26b-5ad6-41cf-b416-fb24bc726ba2
291059.920.000002,Автомобиль,396,"специализированный, автотопливозаправщик, объем более 3 м3, но не более 10 м3",61475107436.00,155240170.29292929,77f6909d-fd35-45ba-94a2-c65eec989e5c
101111.400.000000,Говядина,4190,"свежая, туша, I категория",60330049090.83,14398579.735281622912,e3fd4b31-4f85-470f-8f47-ca9bcb206171
202014.900.000016,Средство дезинфицирующее,6482,на спиртовой основе,58116373605.05,8965808.948634680654,450c25fb-c5f1-452d-a178-e61fd0acab01
