subgroup_code,subgroup_name,parent_group_code,parent_group_name,contract_count,total_contract_sum,average_contract_sum
329953000,Subgroup 329953000,329953,"Приборы, аппаратура и модели, используемые для демонстрационных целей",4055,1378540346281.25,339960627.93618989
192028900,Subgroup 192028900,192028,"Топливо нефтяное (мазут), не включенное в другие группировки",39,840371806085.33,21547995027.82897436
291022300,Subgroup 291022300,291022,"Автомобили легковые новые с двигателем внутреннего сгорания, с объемом цилиндра более 1500 куб. см.",569,655210566881.54,1151512419.82695958
262013000,Subgroup 262013000,262013,"Машины вычислительные цифровые, содержащие в одном корпусе, по крайней мере, центральный процессор и устройство ввода и вывода, комбинированные или размещенные в отдельных блоках",1735,601177256567.80,346499859.69325648
291059999,Subgroup 291059999,291059,"Автомобили специализированные (пожарные, санитарные, аварийно-технические и прочие)",370,483928428831.97,1307914672.51883784
262040000,Subgroup 262040000,262040,Части и принадлежности компьютеров и машин прочих для обработки информации,1446,338019748363.13,233761928.32858230
205952100,Subgroup 205952100,205952,"Пасты для лепки; воск зубоврачебный и материалы на гипсовой основе, используемые в зубоврачебной практике, прочие; среды культурные для выращивания микроорганизмов; реагенты диагностические или лабораторные, не включенные в другие группировки",840,295534858936.40,351827213.01952381
263023900,Subgroup 263023900,263023,"Аппараты телефонные прочие и аппараты для передачи и приема голосовых, изобразительных и прочих данных, включая аппараты для общения в проводной и беспроводной сетях (таких как местная и глобальная сети)",325,252157386565.25,775868881.73923077
291059300,Subgroup 291059300,291059,"Автомобили специализированные (пожарные, санитарные, аварийно-технические и прочие)",108,248707025135.09,2302842825.32490741
265153900,Subgroup 265153900,265153,"Приборы и аппаратура для физического или химического анализа, не включенные в другие группировки",447,225022550697.13,503406153.68485459
281314900,Subgroup 281314900,281314,Насосы центробежные для перекачки жидкостей; насосы прочие,266,210295888449.06,790586046.80097744
252112900,Subgroup 252112900,252112,Котлы центрального отопления для  производства горячей воды или пара с низким давлением,280,202461960895.99,723078431.77139286
264033900,Subgroup 264033900,264033,Видеокамеры записывающие и аппаратура видеозаписывающая или видеовоспроизводящая прочая,304,201733690056.37,663597664.65911184
291030300,Subgroup 291030300,291030,Автомобили для перевозки десяти или более человек,243,188633712466.70,776270421.67366255
222121530,Subgroup 222121530,222121,"Оболочки искусственные из протеина отверженного или материалов целлюлозных, трубы, трубки, рукава, шланги жесткие из пластмасс",130,186570661618.91,1435158935.53007692
262030100,Subgroup 262030100,262030,"Устройства машин для автоматизированной обработки данных, прочие",738,185947698733.97,251961651.40104336
192026510,Subgroup 192026510,192026,Газойли (топливо дизельное),833,185083297147.67,222188832.11004802
291059900,Subgroup 291059900,291059,"Автомобили специализированные (пожарные, санитарные, аварийно-технические и прочие)",74,183715718721.57,2482644847.58878378
202014900,Subgroup 202014900,202014,"Средства дезинфекционные, расфасованные в формы или упаковки для торговли розничной или представленные в виде готовых препаратов или изделий",1137,161888771210.18,142382384.52962181
323014000,Subgroup 323014000,323014,Инвентарь и снаряды (тренажеры и т.п.) спортивные для занятий гимнастикой и атлетикой,201,160485005721.15,798432864.28432836
251110300,Subgroup 251110300,251110,Металлоконструкции строительные сборные,120,159876835099.69,1332306959.16408333
192021530,Subgroup 192021530,192021,"Топливо моторное (бензин, в том числе авиационный)",1233,156966474643.63,127304521.20326845
212021600,Subgroup 212021600,212021,Сыворотки и вакцины иммунные,166,150226594167.78,904979482.93843373
262014000,Subgroup 262014000,262014,"Машины цифровые для автоматизированной обработки данных, представленные в виде систем",124,134649590878.85,1085883797.41008065
242013900,Subgroup 242013900,242013,Трубы и трубки прочие круглого сечения стальные,196,131312792617.32,669963227.63938776
192025900,Subgroup 192025900,192025,Топливо реактивное типа керосина,16,125581583430.88,7848848964.43000000
291044000,Subgroup 291044000,291044,Шасси с двигателями для автотранспортных средств,14,117910864742.59,8422204624.47071429
205959630,Subgroup 205959630,205959,"Продукты химические прочие, не включенные в другие группировки",50,116626587225.55,2332531744.51100000
141211290,Subgroup 141211290,141211,"Комплекты, куртки и пиджаки рабочие, мужские или для мальчиков",135,116018825842.64,859398709.94548148
172312700,Subgroup 172312700,172312,"Конверты, открытки-письма почтовые, открытки почтовые простые и карточки для корреспонденции из бумаги или картона; коробки, сумки, бумажники, книжки записные из бумаги или картона с принадлежностями канцелярскими бумажными",116,104227255159.10,898510820.33706897
108919490,Subgroup 108919490,108919,"Продукты пищевые, не включенные в другие группировки",64,104058047747.29,1625906996.05140625
329959900,Subgroup 329959900,329959,"Изделия различные прочие, не включенные в другие группировки",511,103006062404.46,201577421.53514677
222929900,Subgroup 222929900,222929,Изделия из пластика прочие,365,100079990747.59,274191755.47284932
291024900,Subgroup 291024900,291024,Автомобили легковые специальные,120,97873711288.03,815614260.73358333
322013700,Subgroup 322013700,322013,"Органы клавишные с трубами, фисгармонии и инструменты музыкальные аналогичные; аккордеоны и инструменты музыкальные аналогичные; гармоники губные, инструменты музыкальные духовые",8,96670218800.00,12083777350.00000000
109210330,Subgroup 109210330,109210,Корма готовые для животных домашних,31,94980266105.86,3063879551.80193548
265112350,Subgroup 265112350,265112,"Дальномеры, теодолиты и тахометры; приборы и инструменты геодезические, гидрографические, океанографические, гидрологические, метеорологические или геофизические прочие",87,94700236733.03,1088508468.19574713
325050900,Subgroup 325050900,325050,Приборы для медицинских или хирургических целей прочие,254,93744230219.47,369071772.51759843
202011900,Subgroup 202011900,202011,"Инсектициды, расфасованные в формы или упаковки для торговли розничной или представленные в виде готовых препаратов или изделий",128,90893576959.62,710106069.99703125
262021300,Subgroup 262021300,262021,Устройства запоминающие (накопители),80,89095258214.56,1113690727.68200000
